route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,exact_times
"1-11S-C-sj2-2","700","11SC","Waterfall, North Wollongong, Wollongong, Dapto","Temporary buses","714","00B5EF","FFFFFF","1"
"1-14H-U-sj2-1","700","14HU","Maitland, then all stations to Scone","Temporary buses","714","00B5EF","FFFFFF","1"
"1-14S-C-sj2-3","700","14SC","Thirroul, then all stations to Dapto","Temporary buses","714","00B5EF","FFFFFF","1"
"1-15H-U-sj2-1","700","15HU","Maitland, then all stations to Muswellbrook","Temporary buses","714","00B5EF","FFFFFF","1"
"1-18H-U-sj2-2","700","18HU","Newcastle, all to Warabrook, Beresfield, All to Victoria St, Mailtand, all to Scone","Temporary buses","714","00B5EF","FFFFFF","1"
"1-19H-U-sj2-1","700","19HU","Dungog, then all stations to Maitland, Victoria St all to Beresfield, Warabrook all to Newcastle","Temporary buses","714","00B5EF","FFFFFF","1"
"1-1HU-sj2-1","700","1HU","Newcastle, then all stations to Telarah","Temporary buses","714","00B5EF","FFFFFF","1"
"1-1SC-sj2-3","700","1SC","Kiama, then all stations to Bomaderry","Temporary buses","714","00B5EF","FFFFFF","1"
"1-26H-U-sj2-1","700","26HU","Nwcstl, all to Warabrook, all to Beresfield, Vic St, Telarah, all to Lochinvar, Singletn","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27S-C-sj2-4","700","27SC","Wollongong, then all stations to Port Kembla","Temporary buses","714","00B5EF","FFFFFF","1"
"1-27S-C-sj2-5","700","27SC","Wollongong, then all stations to Port Kembla","Temporary buses","714","00B5EF","FFFFFF","1"
"1-2SC-sj2-3","700","2SC","Wollongong, then Kiama","Temporary buses","714","00B5EF","FFFFFF","1"
"1-30T-1-sj2-2","700","30T1","Schofields, then all stations to Richmond","Temporary buses","714","00B5EF","FFFFFF","1"
"1-32T-1-sj2-1","700","32T1","Granville, then Parramatta, Blacktown, Penrith","Temporary buses","714","00B5EF","FFFFFF","1"
"1-38C-N-sj2-1","700","38CN","Hornsby, Berowra, Pt Clare, then all stations to Woy Woy","Temporary buses","714","00B5EF","FFFFFF","1"
"1-3CN-sj2-2","700","3CN","Hornsby, then all stations to Hawkesbury River","Temporary buses","714","00B5EF","FFFFFF","1"
"1-3SC-sj2-2","700","3SC","Dapto, then all stations to Wollongong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-40T-1-sj2-1","700","40T1","Granville, then all stations to Penrith","Temporary buses","714","00B5EF","FFFFFF","1"
"1-43T-2-sj2-1","700","43T2","Ashfield, then all stations to Strathfield","Temporary buses","714","00B5EF","FFFFFF","1"
"1-47T-2-sj2-1","700","47T2","Central, then all stations to Strathfield","Temporary buses","714","00B5EF","FFFFFF","1"
"1-48S-C-sj2-3","700","48SC","Helensburgh Station, Helensburgh (Township), then Otford Station","Temporary buses","714","00B5EF","FFFFFF","1"
"1-48T-2-sj2-1","700","48T2","Central, then Macdonaldtown, Newtown, Summer Hill, all stations to Strathfield","Temporary buses","714","00B5EF","FFFFFF","1"
"1-4HU-sj2-4","700","4HU","Maitland, then all stations to Dungog","Temporary buses","714","00B5EF","FFFFFF","1"
"1-50T-1-sj2-3","700","50T1","Blacktown, then all stations to Richmond","Temporary buses","714","00B5EF","FFFFFF","1"
"1-50T-2-sj2-3","700","50T2","Central, then Stanmore, Petersham, then Lewisham and return (Loop Service)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-51C-N-sj2-2","700","51CN","Woy Woy, then all stations to Wyong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-52S-C-sj2-2","700","52SC","Waterfall, then all stations to Thirroul (ex Otford and Helensburgh)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-54S-C-sj2-2","700","54SC","Waterfall, express to Thirroul","Temporary buses","714","00B5EF","FFFFFF","1"
"1-57T-1-sj2-2","700","57T1","Blacktown, then all stations to Schofields","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5CN-sj2-2","700","5CN","Hornsby, then Berowra, Tuggerah, Wyong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-5SC-sj2-1","700","5SC","Oak Flats, then all stations to Kiama","Temporary buses","714","00B5EF","FFFFFF","1"
"1-60T-1-sj2-1","700","60T1","Granville, Parramatta, Westmead, Seven Hills, Blacktown, then all stations to Riverstone","Temporary buses","714","00B5EF","FFFFFF","1"
"1-61C-N-sj2-2","700","61CN","Hornsby, Berowra, Gosford, then all stations to Wyong","Temporary buses","714","00B5EF","FFFFFF","1"
"1-65T-1-sj2-1","700","65T1","Granville, then express to Penrith","Temporary buses","714","00B5EF","FFFFFF","1"
"1-65T-8-sj2-1","700","65T8","Central then International Airport","Temporary buses","714","00B5EF","FFFFFF","1"
"1-66T-8-sj2-1","700","66T8","Central then Domestic Airport","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6HU-sj2-1","700","6HU","Maitland, then all stations to Singleton","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SC-sj2-1","700","6SC","Wollongong, then all stations to Oak Flats, Kiama","Temporary buses","714","00B5EF","FFFFFF","1"
"1-6SH-sj2-2","700","6SH","Campbelltown, then all stations to Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-7HU-sj2-1","700","7HU","Newcastle University to Warabrook Station","Temporary buses","714","00B5EF","FFFFFF","1"
"1-80T-1-sj2-1","700","80T1","Granville, Parramatta, Westmead, Seven Hills, Blacktown, then all stations to Richmond","Temporary buses","714","00B5EF","FFFFFF","1"
"1-82T-1-sj2-1","700","82T1","Granville, then Parramatta, Westmead, Seven Hills, Blacktown, Mt Druitt, St Marys","Temporary buses","714","00B5EF","FFFFFF","1"
"1-83T-9-sj2-1","700","83T9","Rhodes, Epping, then all stations to Hornsby","Temporary buses","714","00B5EF","FFFFFF","1"
"1-84T-9-sj2-2","700","84T9","Rhodes, then Meadowbank, West Ryde, Eastwood, Epping","Temporary buses","714","00B5EF","FFFFFF","1"
"1-85T-9-sj2-2","700","85T9","West Ryde, Denistone, Eastwood (Loop Service)","Temporary buses","714","00B5EF","FFFFFF","1"
"1-90T-9-sj2-2","700","90T9","Strathfield, then Epping, Hornsby","Temporary buses","714","00B5EF","FFFFFF","1"
"1-92T-9-sj2-2","700","92T9","Central, then express to Hornsby","Temporary buses","714","00B5EF","FFFFFF","1"
"1-9HU-sj2-1","700","9HU","Scone, then all stations to Branxton, Maitland, and Morisset","Temporary buses","714","00B5EF","FFFFFF","1"
"1-9SH-sj2-6","700","9SH","Campbelltown, Picton, Mittagong, Bowral, Moss Vale","Temporary buses","714","00B5EF","FFFFFF","1"
"1-SC0-1-sj2-1","701","SC01","Kiama to Bomaderry","Illawarra Buses Network","700","00B5EF","FFFFFF","1"
"1-SH1-0-sj2-1","701","SH100","Moss Vale to Goulburn","Illawarra Buses Network","700","00B5EF","FFFFFF","1"
"12-100-1-sj2-1","2502","1001","Old Kurrajong and Hume to Good Samaritan College","School buses","712","00B5EF","FFFFFF","1"
"12-100-2-sj2-1","2502","1002","Braidwood and Fortunato to Casula HS","School buses","712","00B5EF","FFFFFF","1"
"12-100-3-sj2-1","2502","1003","Mill Rd and Hume Hwy to Liverpool West PS","School buses","712","00B5EF","FFFFFF","1"
"12-100-4-sj2-1","2502","1004","Congressional Dr and Hume Hwy to Casula HS","School buses","712","00B5EF","FFFFFF","1"
"12-100-5-sj2-1","2502","1005","Bringelly and Allenby to Liverpool Schools","School buses","712","00B5EF","FFFFFF","1"
"12-100-6-sj2-1","2502","1006","Holston St and Hume Hwy to Unity Grammar College","School buses","712","00B5EF","FFFFFF","1"
"12-100-7-sj2-1","2502","1007","Seventeenth and Twentyseventh to Rutleigh Park","School buses","712","00B5EF","FFFFFF","1"
"12-100-8-sj2-1","2502","1008","Fourth and Fifteenth to John Edmondson HS and Holy Spirt","School buses","712","00B5EF","FFFFFF","1"
"12-100-9-sj2-1","2502","1009","Cowpasture and Collarenebri to Hoxton Park PS","School buses","712","00B5EF","FFFFFF","1"
"12-101-0-sj2-1","2502","1010","Bringelly and Allenby to Rossmore PS","School buses","712","00B5EF","FFFFFF","1"
"12-101-1-sj2-1","2502","1011","Denham Court to Robert Townson High School","School buses","712","00B5EF","FFFFFF","1"
"12-101-2-sj2-1","2502","1012","Liverpool Station to Hoxton Park PS","School buses","712","00B5EF","FFFFFF","1"
"12-101-3-sj2-1","2502","1013","Kelvin Park and Medich to Macarthur Anglican College","School buses","712","00B5EF","FFFFFF","1"
"12-101-4-sj2-1","2502","1014","Mersey and Northern to Bringelly PS and Holy Family","School buses","712","00B5EF","FFFFFF","1"
"12-101-5-sj2-1","2502","1015","Wroxham St and Bernera Rd to Clancy College","School buses","712","00B5EF","FFFFFF","1"
"12-101-6-sj2-1","2502","1016","William Carey Christian School to Lurnea PS","School buses","712","00B5EF","FFFFFF","1"
"12-101-7-sj2-1","2502","1017","Badgerys Creek Post Office to Mt Annan HS","School buses","712","00B5EF","FFFFFF","1"
"12-101-8-sj2-1","2502","1018","Camden Valley Way and Horningsea Park to Greenway PS","School buses","712","00B5EF","FFFFFF","1"
"12-102-0-sj2-1","2502","1020","Catherine Field and CamdenValley to Carnes Hill Marketplace","School buses","712","00B5EF","FFFFFF","1"
"12-102-1-sj2-1","2502","1021","Box and Myall Rds to Macarthur Anglican College","School buses","712","00B5EF","FFFFFF","1"
"12-102-2-sj2-1","2502","1022","Camden to William Carey Christian School","School buses","712","00B5EF","FFFFFF","1"
"12-102-3-sj2-1","2502","1023","Braidwood and Mollymook to Dalmeny PS","School buses","712","00B5EF","FFFFFF","1"
"12-102-4-sj2-1","2502","1024","Braidwood and Tolland to St Gregorys","School buses","712","00B5EF","FFFFFF","1"
"12-102-5-sj2-1","2502","1025","Dwyer and Camden Valley to Leppington PS and Carnes Hill","School buses","712","00B5EF","FFFFFF","1"
"12-102-6-sj2-1","2502","1026","Fifteenth and Twentyeighth to Cecil Hills HS","School buses","712","00B5EF","FFFFFF","1"
"12-102-7-sj2-1","2502","1027","Harrow and O'Malley to Lurnea PS","School buses","712","00B5EF","FFFFFF","1"
"12-102-8-sj2-1","2502","1028","Badgerys Creek to John Edmondson HS","School buses","712","00B5EF","FFFFFF","1"
"12-102-9-sj2-1","2502","1029","Alma Road and George Rd to St Pauls PS","School buses","712","00B5EF","FFFFFF","1"
"12-103-0-sj2-1","2502","1030","Corfield and Braidwood to All Saints HS","School buses","712","00B5EF","FFFFFF","1"
"12-103-1-sj2-1","2502","1031","Leacocks Lane and Kendall Dr to Thomas Hassall College","School buses","712","00B5EF","FFFFFF","1"
"12-103-2-sj2-1","2502","1032","Busabout Depot to John Edmondson HS","School buses","712","00B5EF","FFFFFF","1"
"12-103-3-sj2-1","2502","1033","Austral Shops to Hoxton Park HS","School buses","712","00B5EF","FFFFFF","1"
"12-103-4-sj2-1","2502","1034","Bus Depot to St Therese PS","School buses","712","00B5EF","FFFFFF","1"
"12-103-5-sj2-1","2502","1035","Camden Valley Way and George St to William Carey Christian School","School buses","712","00B5EF","FFFFFF","1"
"12-103-7-sj2-1","2502","1037","Leppington to William Carey School","School buses","712","00B5EF","FFFFFF","1"
"12-103-8-sj2-1","2502","1038","Badgerys Creek to Mannow and Carmichael","School buses","712","00B5EF","FFFFFF","1"
"12-103-9-sj2-1","2502","1039","Mill Rd and Hume Hwy to Casula PS","School buses","712","00B5EF","FFFFFF","1"
"12-104-0-sj2-1","2502","1040","Rutleigh Park to Tibooburra Rd and Pacific Palms Cct","School buses","712","00B5EF","FFFFFF","1"
"12-104-1-sj2-1","2502","1041","Kurrajong Rd and Cedar Rd to Clancy College","School buses","712","00B5EF","FFFFFF","1"
"12-104-2-sj2-1","2502","1042","The Northern Rd and Badgerys Creek Rd to Unity Grammar College","School buses","712","00B5EF","FFFFFF","1"
"12-104-3-sj2-1","2502","1043","Webster Rd and Hoxton Park Rd to Unity Grammar College","School buses","712","00B5EF","FFFFFF","1"
"12-104-4-sj2-1","2502","1044","Greendale and Northern to William Carey Christian School","School buses","712","00B5EF","FFFFFF","1"
"12-104-8-sj2-1","2502","1048","Denham Court to Liverpool","School buses","712","00B5EF","FFFFFF","1"
"12-104-9-sj2-1","2502","1049","Bardia PS to St Patricks College","School buses","712","00B5EF","FFFFFF","1"
"12-105-0-sj2-1","2502","1050","Bardia PS to Ingleburn Station","School buses","712","00B5EF","FFFFFF","1"
"12-105-1-sj2-1","2502","1051","Second Av and Fifteenth Av to Liverpool Boys HS","School buses","712","00B5EF","FFFFFF","1"
"12-105-2-sj2-1","2502","1052","Mannow Ave and Carmichael Dr to Austral PS","School buses","712","00B5EF","FFFFFF","1"
"12-105-3-sj2-1","2502","1053","Wroxham St and Bernera Rd to Clancy College","School buses","712","00B5EF","FFFFFF","1"
"12-106-0-sj2-1","2502","1060","Leppington to William Carey Christian School","School buses","712","00B5EF","FFFFFF","1"
"12-106-1-sj2-1","2502","1061","Leppington to Bellfield College","School buses","712","00B5EF","FFFFFF","1"
"12-200-1-sj2-1","2502","2001","Thomas Hassall College to All Saints HS","School buses","712","00B5EF","FFFFFF","1"
"12-200-3-sj2-1","2502","2003","Casula PS to Liverpool","School buses","712","00B5EF","FFFFFF","1"
"12-200-5-sj2-1","2502","2005","Lurnea PS to Congressional Dr","School buses","712","00B5EF","FFFFFF","1"
"12-200-7-sj2-1","2502","2007","Narellan PS to Glenfield Station","School buses","712","00B5EF","FFFFFF","1"
"12-200-9-sj2-1","2502","2009","John Edmondson HS to Austral","School buses","712","00B5EF","FFFFFF","1"
"12-201-0-sj2-1","2502","2010","James Busby HS to Mannow Av","School buses","712","00B5EF","FFFFFF","1"
"12-201-3-sj2-1","2502","2013","Good Shepherd PS to Austral","School buses","712","00B5EF","FFFFFF","1"
"12-201-4-sj2-1","2502","2014","Thomas Hassall College to Horningsea Park","School buses","712","00B5EF","FFFFFF","1"
"12-201-7-sj2-1","2502","2017","Bringelly PS to Rossmore","School buses","712","00B5EF","FFFFFF","1"
"12-201-9-sj2-1","2502","2019","Good Shepherd PS to Casula","School buses","712","00B5EF","FFFFFF","1"
"12-202-2-sj2-1","2502","2022","All Saints Schools to Prestons","School buses","712","00B5EF","FFFFFF","1"
"12-202-4-sj2-1","2502","2024","All Saints Schools to Lurnea and Casula","School buses","712","00B5EF","FFFFFF","1"
"12-202-5-sj2-1","2502","2025","Johns Edmondson HS to Austral","School buses","712","00B5EF","FFFFFF","1"
"12-202-6-sj2-1","2502","2026","Good Samaritan to Middleton Grange","School buses","712","00B5EF","FFFFFF","1"
"12-202-7-sj2-1","2502","2027","Hoxton Park HS to Horningsea Park","School buses","712","00B5EF","FFFFFF","1"
"12-202-8-sj2-1","2502","2028","John Edmondson HS to Leppington","School buses","712","00B5EF","FFFFFF","1"
"12-202-9-sj2-1","2502","2029","Catherine Fields Rd near Camden Valley Way to Casula","School buses","712","00B5EF","FFFFFF","1"
"12-203-2-sj2-1","2502","2032","Good Shepherd PS to Bringelly and Kelvin Park","School buses","712","00B5EF","FFFFFF","1"
"12-203-3-sj2-1","2502","2033","Austral PS to Gurner Ave","School buses","712","00B5EF","FFFFFF","1"
"12-203-4-sj2-1","2502","2034","All Saints HS to Leppington","School buses","712","00B5EF","FFFFFF","1"
"12-203-5-sj2-1","2502","2035","All Saints HS to Liverpool","School buses","712","00B5EF","FFFFFF","1"
